167;AL;41.49167;20.22194
168;AL;42.32639;20.07639
169;AL;41.105;20.0225
170;AL;41.86139;20
171;AL;42.16056;20.19194
172;AL;40.6275;20.99
173;AL;41.99472;20.4125
174;AL;40.84583;20.65722
175;AL;40.27778;20.61833
176;AL;40.41667;20.13444
177;AL;41.91306;20.28833
178;AL;41.73583;20.32417
179;AL;42.26472;20.02694
180;AL;42.31;20.20278
181;AL;41.19694;20.33556
182;AL;41.19639;20.05972
183;AL;40.71806;20.43806
184;AL;40.57111;20.15
185;AL;40.27917;20.2725
186;AL;39.99222;19.91389
187;AL;40.70917;19.64972
188;AL;41.70778;19.68917
189;AL;41.38944;19.8275
190;AL;41.42972;19.93028
191;AL;41.34444;19.5475
192;AL;42.02806;19.54778
193;AL;40.20972;19.69083
194;AL;41.39083;19.655
195;AL;40.46667;19.48972
196;AL;41.87833;19.40556
197;AL;40.70167;19.93222
198;AL;41.29917;19.74417
199;AL;40.76889;19.87778
200;AL;41.87528;19.79472
201;AL;41.68278;19.89333
202;AL;40.76306;19.43278
203;AL;41.3275;19.81889
204;AL;41.5475;19.67778
205;AL;41.04;19.61417
206;AL;41.18;19.5425
207;AL;41.38056;19.53778
208;AL;40.75111;19.7375
209;AL;40.64806;19.86806
210;AL;41.06889;19.69944
211;AL;42.06828;19.51258
212;AL;41.34556;19.56722
213;AL;41.02417;19.81611
214;AL;41.69083;19.65333
215;AL;41.81361;19.59389
216;AL;41.18333;19.53333
217;AL;40.99861;19.94778
218;AL;42.29944;19.805
219;AL;40.39639;19.72972
220;AL;41.63528;19.755
221;AL;42.45139;19.89167
222;AL;40.53056;19.63583
223;AL;40.67083;19.69833
224;AL;41.77444;19.78611
225;AL;41.07639;19.66528
226;AL;41.7675;19.87556
227;AL;41.32278;19.51028
228;AL;40.96778;19.82111
229;AL;42.04444;19.97056
230;AL;40.7375;19.70222
231;AL;40.88639;19.51139
232;AL;42.05306;19.83722
233;AL;42.08972;19.895
234;AL;42.04444;19.89972
235;AL;40.21333;19.94472
236;AL;41.42722;19.67278
237;AL;40.78028;19.84417
238;AL;40.69917;19.57444
239;AL;41.2175;19.69611
240;AL;41.25306;19.85306
241;AL;41.05;19.79917
242;AL;40.77889;19.92306
243;AL;41.04611;19.75111
244;AL;40.64278;19.65083
245;AL;40.68333;19.61944
246;AL;41.35389;19.80667
247;AL;41.05167;19.96083
248;AL;41.05472;19.8375
249;AL;40.74389;19.93528
250;AL;40.32528;19.47139
251;AL;40.625;19.46694
252;AL;41.44417;19.74833
253;AL;42.24444;19.75806
254;AL;40.64444;19.7925
255;AL;41.26389;19.65583
256;AL;41.68389;19.71556
257;AL;40.35167;19.98028
258;AL;40.75361;19.57944
259;AL;41.42861;19.59306
260;AL;41.5775;19.69222
261;AL;41.37917;19.6075
262;AL;41.1275;19.57389
263;AL;40.94194;19.705
264;AL;40.44278;19.95444
265;AL;40.83444;19.55222
266;AL;41.78361;19.64361
267;AL;40.67611;19.48972
268;AL;42.29472;19.93167
269;AL;41.11444;19.60972
270;AL;41.63556;19.71306
271;AL;40.47333;19.76639
272;AL;40.78389;19.78667
273;AL;40.7175;19.74556
274;AL;40.72667;19.68667
275;AL;40.80028;19.91667
276;AL;42.03972;19.52528
277;AL;41.10056;19.5275
278;AL;40.87194;19.68083
279;AL;41.50917;19.79278
280;AL;41.21556;19.97139
281;AL;40.43861;19.84444
282;AL;40.83083;19.90056
283;AL;40.38944;19.60222
284;AL;42.21361;19.43639
285;AL;41.58167;19.98556
286;AL;40.82417;19.60389
287;AL;41.78667;19.67611
288;AL;41.18556;19.55694
289;AL;41.40306;19.51806
290;AL;42.3525;19.48917
291;AL;41.34972;19.71028
292;AL;41.06306;19.71611
293;AL;40.92194;19.71778
294;AL;41.38167;19.76028
295;AL;41.84889;19.68694
296;AL;41.41806;19.82139
297;AL;40.59;19.77833
298;AL;40.91417;19.88944
299;AL;41.89333;19.89861
300;AL;41.54528;19.6
301;AL;40.97167;19.78972
302;AL;42.36194;19.44417
303;AL;40.10167;19.74472
304;AL;41.18028;19.60694
305;AL;40.56194;19.73583
306;AL;41.48278;19.69972
307;AL;41.95306;19.63778
308;AL;41.53611;19.99083
309;AL;42.045;19.57472
310;AL;42.15917;19.51889
311;AL;40.55194;19.77833
312;AL;40.92944;19.9475
313;AL;40.88806;19.58583
314;AL;41.15194;19.96361
315;AL;40.95306;19.58083
